Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C0848562	Problem;hormone;menopause	Problem;hormone;menopause|problem with hormone due to menopause		
C2185934	Loss of hearing on one side only	loss of hearing on one side only|loss of hearing on one side only (symptom)		
C2201431	Bone pain in right elbow	bone pain in right elbow|bone pain in right elbow (symptom)		
C2126051	Rectal pain worsens during bowel movements	rectal pain worsens during bowel movements|rectal pain worsens during bowel movements (symptom)		
C2128350	Diffuse dorsal right midfoot pain	diffuse dorsal right midfoot pain|diffuse soft tissue pain on top of right midfoot|diffuse soft tissue pain on top of right midfoot (symptom)|right foot pain on top over midfoot diffuse		
C1540997	(pain) or (c/o: [ache] or [pain])	(Pain) or (C/O: [ache] or [pain])|(Pain) or (C/O: [ache] or [pain]) (finding)		SNOMEDCT_US_2016_09_01:162412006
C1331403	Infertility/subfertility female	Infertility/subfertility female		
C2073336	Chest pain over right seventh rib	chest pain over right seventh rib|chest pain over right seventh rib (symptom)		
C0578050	Gland lymph pain	Lymph Node Pain|Lymph node pain|Pain of lymph node|Pain of lymph node (finding)|Pain;lymph gland(s)|Painful lymph node|gland lymph pain|glands lymph pain|lymph gland pain|lymph glands pain|lymph node pain|lymph node pain (diagnosis)|lymph node painful|lymph nodes pain|lymph nodes painful|pain in lymph node|pain lymph glands|painful lymph node	NCI2016_02D:A painful sensation in a lymph node.|NCI2016_CTCAE_1602D:A disorder characterized by a sensation of marked discomfort in a lymph node.|	SNOMEDCT_US_2016_09_01:301360004
C2128903	Finger joints have gotten larger right thumb mcp	finger joints have gotten larger right thumb MCP|increase in size of MCP joint of thumb of right hand|increase in size of metacarpophalangeal joint of thumb of right hand|increase in size of metacarpophalangeal joint of thumb of right hand (symptom)		
C2370950	Aural pressure	Aural pressure	ICF-CY_2008:Sensation of pressure in the ear.|ICF_2008_12_19:Sensation of pressure in the ear.|	
C0473312	Leukorrhea unspecified	Leukorrhea unspecified|Leukorrhea unspecified (finding)|Leukorrhoea unspecified		SNOMEDCT_US_2016_09_01:198369007|SNOMEDCT_US_2016_09_01:266595006
C2144965	Total blindness in right eye	total blindness in right eye|total loss of vision in right eye|total loss of vision in right eye (symptom)|total vision loss in the right eye|total vision loss right|totally blind in right eye		
C2073285	Chest pain lasting continuously for several weeks or more	chest pain lasting continuously for several weeks or more|chest pain lasting continuously for several weeks or more (symptom)		
C2110503	Knee pain worse with weightbearing	knee pain worse with weightbearing|knee pain worse with weightbearing (symptom)		
C3854518	Mahler sign	Mahler sign		
C2178549	Sweater finger sign	sweater finger sign|sweater finger sign (physical finding)|sweater finger sign was observed		
C1167951	Nasopharyngeal reflux	Nasopharyngeal reflux		
C0555976	Sore vulva	Vulva sore|Vulva sore (finding)|Vulval soreness|sore vulva|sores vulva|vulva sore		SNOMEDCT_US_2016_09_01:201013000|SNOMEDCT_US_2016_09_01:275321000
C0375208	Flaccid hemiplegia, affecting dominant side	Flaccid hemiplegia and hemiparesis affecting dominant side|Flaccid hemiplegia, affecting dominant side		ICD9CM_2014:342.01
C3835667	Stated weight	stated weight|stated weight (symptom)		
C1443924	Severe diarrhea	Severe diarrhea|Severe diarrhea (finding)|Severe diarrhoea		OMIM2016_04_17:MTHU026059|SNOMEDCT_US_2016_09_01:409587002|SO:SYMP_0000376
C2127555	Right elbow feels like it will slip out of joint	right elbow feels like it will slip out of joint|right elbow feels like it will slip out of joint (symptom)|the right elbow feels like it will slip out of joint		
C2183756	Diplopia in right eye only	diplopia in right eye only|diplopia in right eye only (symptom)|double vision in right eye|monocular diplopia in the right eye|seeing double images monocular right		
C0686767	Unpleasant odor of feet	Unpleasant odor of feet|Unpleasant odor of feet (finding)|Unpleasant odour of feet|Unpleasant odour of feet (finding)		SNOMEDCT_US_2016_09_01:102597005|SNOMEDCT_US_2016_09_01:392719008|SNOMEDCT_US_2016_09_01:393674009|SNOMEDCT_US_2016_09_01:394643003
C2128332	Shocklike sensation from r knee to foot along outside of leg	shocklike sensation from R knee to foot along outside of leg|shocklike sensation from right knee to foot along outside of leg|shocklike sensation from right knee to foot along outside of leg (symptom)		
C2231967	Skin crust on both sides of chin	skin crust on both sides of chin|skin crust on both sides of chin (symptom)		
C2020291	Right fourth toe dip joint stiffness	right fourth toe DIP joint stiffness|stiffness of DIP joint in right fourth toe|stiffness of distal interphalangeal joint in right fourth toe|stiffness of distal interphalangeal joint in right fourth toe (symptom)		
C1739415	Chronic post nasal drip	Chronic post nasal drip		
C2130174	Dorsal left hand pain over the web spaces between the middle and ring fingers	dorsal left hand pain over the web spaces between the middle and ring fingers|dorsal left hand pain over web space between middle and ring finger|dorsal left hand pain over web space between middle and ring finger (symptom)		
C2032481	Thigh pain worse with standing	thigh pain worse with standing|thigh pain worse with standing (symptom)		
C2315195	Pain in symphysis pubis in pregnancy	Pain in symphysis pubis in pregnancy|Pain in symphysis pubis in pregnancy (finding)		SNOMEDCT_US_2016_09_01:433017009
C0156405	Bleeding ovulation	Bleeding - ovulation|Bleeding;ovulation|Ovulation bleeding|Ovulation bleeding (finding)|Ovulation bleeding (finding) [Ambiguous]|bleeding ovulation|hemorrhage; ovulation|ovulation bleed|ovulation bleeding|ovulation; hemorrhage|ovulatory bleeding|ovulatory bleeding (diagnosis)		ICD10CM_2017:N92.3|ICD9CM_2014:626.5|SNOMEDCT_US_2016_09_01:12281005|SNOMEDCT_US_2016_09_01:156046001|SNOMEDCT_US_2016_09_01:198422003|SNOMEDCT_US_2016_09_01:266603000|SNOMEDCT_US_2016_09_01:266674007
C0005758	Blister	BLISTER|BLISTERS|BULLA|Bleb|Blebs|Blister|Blister (morphologic abnormality)|Blister NOS|Blister NOS (disorder)|Blister [Disease/Finding]|Blister, NOS|Blister: NOS|Blistering|Blistering eruption|Blisters|Bulla|Bullae|Bullous Lesion|Bullous Lesions|Bullous lesions|Lesion, Bullous|Lesions, Bullous|Vesication|Vesications|Vesicle|blister|blister (diagnosis)|bulla|bullae|bullous lesion|bullous lesions|vesication	CSP2006:visible accumulations of fluid within or beneath the epidermis.|MSH2017_2016_08_12:Visible accumulations of fluid within or beneath the epidermis.|NCI2016_02D:A large (greater than 5-10 mm) intraepidermal/subepidermal cavity filled with clear, serosanguineous or cloudy fluid.|NCI2016_02D:An intraepidermal/subepidermal cavity filled with clear, serosanguineous or cloudy fluid.(NICHD)|NCI2016_NCI-GLOSS_1602D:A fluid-filled sac in the outer layer of skin. It can be caused by rubbing, heat, or diseases of the skin.|NCI2016_NICHD_1602D:A large (greater than 5 - 10 mm) intraepidermal/subepidermal cavity filled with clear, serosanguineous or turbid fluid.|NCI2016_NICHD_1602D:An intraepidermal/subepidermal cavity filled with clear, serosanguineous or turbid fluid.|SCTSPA_2016_04_30:Lesi贸n sobreelevada, llena de l铆quido, generalmente transl煤cida, mayor de 1 cm de di谩metro|SNOMEDCT_US_2016_09_01:A fluid-filled, raised, often translucent lesion, greater than 1 cm in diameter|	MSH2017_2016_08_12:D001768|OMIM2016_04_17:MTHU010019|OMIM2016_04_17:MTHU024224|SNOMEDCT_US_2016_09_01:210984001|SNOMEDCT_US_2016_09_01:247464001|SNOMEDCT_US_2016_09_01:271208000|SNOMEDCT_US_2016_09_01:287129000|SNOMEDCT_US_2016_09_01:339008|SO:SYMP_0000009|CSSO:CSSO_000073|CSSO:CSSO_000238
